trait_type,value,count,pct,rarity_note
Accessory,Chia Coin,1,0.0113,1 of 1 unique
Background,Blue,936,10.5311,common
Background,Green,835,9.3947,uncommon
Background,Red,792,8.9109,uncommon
Background,Yellow,789,8.8771,uncommon
Background,Violet,677,7.6170,uncommon
Background,Teal,673,7.5720,uncommon
Background,Orange,655,7.3695,uncommon
Background,Pink,638,7.1782,uncommon
Background,Indigo,635,7.1445,uncommon
Background,White,497,5.5918,uncommon
Background,Gray,461,5.1868,uncommon
Background,Black,400,4.5005,uncommon
Background,Brown,332,3.7354,uncommon
Background,Silver,329,3.7016,uncommon
Background,Gold,237,2.6665,uncommon
Background,Ice Gradient,1,0.0113,1 of 1 unique
Background,Slate,1,0.0113,1 of 1 unique
Beak,Orange,1,0.0113,1 of 1 unique
Body,Navy Plumage,1,0.0113,1 of 1 unique
Bridge,Clean,7899,88.8726,common
Bridge,Taped Repair,987,11.1049,common
Class,Storm Caller,426,4.7930,uncommon
Class,Spirit Guide,424,4.7705,uncommon
Class,Deep Sea,418,4.7030,uncommon
Class,Earth Shaman,406,4.5680,uncommon
Class,Shadow Priest,403,4.5342,uncommon
Class,Vampire Lord,401,4.5117,uncommon
Class,Arcane Mage,398,4.4779,uncommon
Class,Druid,396,4.4554,uncommon
Class,Cleric Light,395,4.4442,uncommon
Class,Warlock Fel,395,4.4442,uncommon
Class,Rune Keeper,393,4.4217,uncommon
Class,Necromancer,388,4.3654,uncommon
Class,Alchemist,386,4.3429,uncommon
Class,Chaos Weaver,383,4.3092,uncommon
Class,Mystic Seer,381,4.2867,uncommon
Class,Sand Sage,376,4.2304,uncommon
Class,Illusionist,375,4.2192,uncommon
Class,Blood Mage,369,4.1517,uncommon
Class,Void Walker,361,4.0617,uncommon
Class,Chronomancer,358,4.0279,uncommon
Class,High Sorcerer,356,4.0054,uncommon
Class,Pyromancer,354,3.9829,uncommon
Class,Cryomancer,345,3.8816,uncommon
Class,Special,1,0.0113,1 of 1 unique
Community Handle,@ArtwithHeartNFT,1,0.0113,1 of 1 unique
Community Handle,@BenAtreidesVing,1,0.0113,1 of 1 unique
Community Handle,@BraidsBlock,1,0.0113,1 of 1 unique
Community Handle,@Bullish0xCrypto,1,0.0113,1 of 1 unique
Community Handle,@CF_Lost_Gifs,1,0.0113,1 of 1 unique
Community Handle,@CassFairiesClub,1,0.0113,1 of 1 unique
Community Handle,@ChiaGodsNFT,1,0.0113,1 of 1 unique
Community Handle,@ChiaMemecoin,1,0.0113,1 of 1 unique
Community Handle,@ChiaPlanet,1,0.0113,1 of 1 unique
Community Handle,@Circuit_DAO,1,0.0113,1 of 1 unique
Community Handle,@Crypto_RVD,1,0.0113,1 of 1 unique
Community Handle,@DanPerry_Chia,1,0.0113,1 of 1 unique
Community Handle,@DatArtPerson,1,0.0113,1 of 1 unique
Community Handle,@DigitalChamber,1,0.0113,1 of 1 unique
Community Handle,@DracattusDev,1,0.0113,1 of 1 unique
Community Handle,@Ashen_R0,1,0.0113,1 of 1 unique
Community Handle,@Grizzle341,1,0.0113,1 of 1 unique
Community Handle,@HYP3RH3X,1,0.0113,1 of 1 unique
Community Handle,@IceLabs,1,0.0113,1 of 1 unique
Community Handle,@Lucky8Token,1,0.0113,1 of 1 unique
Community Handle,@MatthewSHintz,1,0.0113,1 of 1 unique
Community Handle,@MayorAbandoned,1,0.0113,1 of 1 unique
Community Handle,@MiniMarmots,1,0.0113,1 of 1 unique
Community Handle,@MintGarden_io,1,0.0113,1 of 1 unique
Community Handle,@MrDennisV,1,0.0113,1 of 1 unique
Community Handle,@OopsOrngz,1,0.0113,1 of 1 unique
Community Handle,@OrangeGooey,1,0.0113,1 of 1 unique
Community Handle,@RightSexyOrc,1,0.0113,1 of 1 unique
Community Handle,@Rigidity16,1,0.0113,1 of 1 unique
Community Handle,@SlowestTimelord,1,0.0113,1 of 1 unique
Community Handle,@SpaceOkra,1,0.0113,1 of 1 unique
Community Handle,@SpiritBits,1,0.0113,1 of 1 unique
Community Handle,@TeeMoney1738,1,0.0113,1 of 1 unique
Community Handle,@XchFoundation,1,0.0113,1 of 1 unique
Community Handle,@_xDrStrange,1,0.0113,1 of 1 unique
Community Handle,@postboyamiri,1,0.0113,1 of 1 unique
Community Handle,@acevail_,1,0.0113,1 of 1 unique
Community Handle,@anarkoicxchia,1,0.0113,1 of 1 unique
Community Handle,@bramcohen,1,0.0113,1 of 1 unique
Community Handle,@chia_project,1,0.0113,1 of 1 unique
Community Handle,@dexie_space,1,0.0113,1 of 1 unique
Community Handle,@digdotnet,1,0.0113,1 of 1 unique
