token_id,rank,rank_label,rarity_score,tier,kind,name,display_name,handle,special
42,0,1/1,,1 of 1,named,Tom · WizNerdz #42,Tom,,Named
205,0,1/1,,1 of 1,community,Oops · WizNerdz #205,Oops,@OopsOrngz,Community 1 of 1
399,0,1/1,,1 of 1,community,Siipi · WizNerdz #399,Siipi,@iamSiipi,Community 1 of 1
639,0,1/1,,1 of 1,community,DatArt · WizNerdz #639,DatArt,@DatArtPerson,Community 1 of 1
787,0,1/1,,1 of 1,named,Fiend · WizNerdz #787,Fiend,,Named
849,0,1/1,,1 of 1,community,Profet · WizNerdz #849,Profet,@nftprofetmaster,Community 1 of 1
900,0,1/1,,1 of 1,community,Permuto · WizNerdz #900,Permuto,@permutocapital,Community 1 of 1
1090,0,1/1,,1 of 1,community,Silicon · WizNerdz #1090,Silicon,@silicondotnet,Community 1 of 1
1111,0,1/1,,1 of 1,community,Ice Labs · WizNerdz #1111,Ice Labs,@IceLabs,Community 1 of 1
1454,0,1/1,,1 of 1,community,Thy · WizNerdz #1454,Thy,@thyrevolution,Community 1 of 1
1736,0,1/1,,1 of 1,community,SpaceScan · WizNerdz #1736,SpaceScan,@spacescan_io,Community 1 of 1
1759,0,1/1,,1 of 1,community,Ender · WizNerdz #1759,Ender,@endertown,Community 1 of 1
2106,0,1/1,,1 of 1,community,Trashformers · WizNerdz #2106,Trashformers,@trashformersnft,Community 1 of 1
2264,0,1/1,,1 of 1,named,Aster · WizNerdz #2264,Aster,,Named
2308,0,1/1,,1 of 1,community,Dracattus · WizNerdz #2308,Dracattus,@DracattusDev,Community 1 of 1
2321,0,1/1,,1 of 1,community,Chia Gods · WizNerdz #2321,Chia Gods,@ChiaGodsNFT,Community 1 of 1
2351,0,1/1,,1 of 1,community,Gooey · WizNerdz #2351,Gooey,@OrangeGooey,Community 1 of 1
2529,0,1/1,,1 of 1,community,Lost Gifs · WizNerdz #2529,Lost Gifs,@CF_Lost_Gifs,Community 1 of 1
2868,0,1/1,,1 of 1,community,Grig · WizNerdz #2868,Grig,@SpiritBits,Community 1 of 1
3130,0,1/1,,1 of 1,community,Whale · WizNerdz #3130,Whale,@time2buyxch,Community 1 of 1
3146,0,1/1,,1 of 1,community,Bullish · WizNerdz #3146,Bullish,@Bullish0xCrypto,Community 1 of 1
3332,0,1/1,,1 of 1,community,Mini Marmot · WizNerdz #3332,Mini Marmot,@MiniMarmots,Community 1 of 1
3601,0,1/1,,1 of 1,community,Max · WizNerdz #3601,Max,@BraidsBlock,Community 1 of 1
3647,0,1/1,,1 of 1,community,Grizzle · WizNerdz #3647,Grizzle,@Grizzle341,Community 1 of 1
3736,0,1/1,,1 of 1,named,Art Boss · WizNerdz #3736,Art Boss,,Named
4358,0,1/1,,1 of 1,community,Chia · WizNerdz #4358,Chia,@chia_project,Community 1 of 1
4929,0,1/1,,1 of 1,community,Memecoin · WizNerdz #4929,Memecoin,@ChiaMemecoin,Community 1 of 1
5012,0,1/1,,1 of 1,community,Mobilx · WizNerdz #5012,Mobilx,@m0b1lx,Community 1 of 1
5074,0,1/1,,1 of 1,community,Fiend · WizNerdz #5074,Fiend,@FiendStudios,Community 1 of 1
5095,0,1/1,,1 of 1,community,Seedsnapp · WizNerdz #5095,Seedsnapp,@seedsnapp,Community 1 of 1
5189,0,1/1,,1 of 1,community,Matthew · WizNerdz #5189,Matthew,@MatthewSHintz,Community 1 of 1
5279,0,1/1,,1 of 1,community,Sol · WizNerdz #5279,Sol,@solomonslot,Community 1 of 1
